Разметка,id_level1,level1,id_level2,level2,id_level3,leve3,d_level1,d_level2,d_level3
Для ума,649,Игры,651,Интеллектуальные игры,1042,Иные интеллектуальные игры,"Занятия по изучению правил игр, основанных на применении интеллекта и эрудиции, а также участие в них.",,
Для ума,649,Игры,651,Интеллектуальные игры,1040,Викторины,"Занятия по изучению правил игры, которая заключается в ответах на устные или письменные вопросы из различных областей знания, и участие в ней.",,
Для ума,649,Игры,651,Интеллектуальные игры,1041,Квест,Занятия по изучению способов решений головоломок за определенное время в формате интерактивных игр.,,
Для ума,649,Игры,651,Интеллектуальные игры,1043,Брейн-ринг,"Занятия по изучению правил игры, в которой побеждает самый эрудированный человек или команда, быстрее всех отвечающая на вопросы ведущего, а также участие в ней.",,
Для ума,649,Игры,650,Настольные игры,323,Современные настольные игры,"Занятия по изучению правил современных игр, развивающих способность к быстрому принятию решений, позволяющих сохранить ясность ума и повышающих концентрацию внимания, а также участие в них.",,
Для ума,649,Игры,650,Настольные игры,516,Иные настольные игры,"Занятия по изучению правил настольных игр (шахматы, шашки, русское лото и др.), а также участие в них с целью полезного времяпрепровождения и развития когнитивных способностей.",,
Для ума,649,Игры,650,Настольные игры,501,Русское лото,"Занятия по изучению правил игры в лото, развивающей навыки коммуникации, быстроту реакции и ясность ума, а также участие в ней.",,
Для ума,649,Игры,1385,ОНЛАЙН Интеллектуальные игры,1426,ОНЛАЙН Викторины,"Занятия по изучению правил игры, которая заключается в ответах на устные или письменные вопросы из различных областей знания и участие в ней.",,
Для ума,649,Игры,1385,ОНЛАЙН Интеллектуальные игры,1427,ОНЛАЙН Иные интеллектуальные игры,"Занятия по изучению правил игр, основанных на применении интеллекта и эрудиции, а также участие в них.",,
Для ума,649,Игры,1385,ОНЛАЙН Интеллектуальные игры,1428,ОНЛАЙН Квест,Занятия по изучению способов решений головоломок за определенное время в формате интерактивных игр.,,
Для ума,649,Игры,1385,ОНЛАЙН Интеллектуальные игры,1425,ОНЛАЙН Брейн-ринг,"Занятия по изучению правил игры, в которой побеждает самый эрудированный человек или команда, быстрее всех отвечающая на вопросы ведущего, а также участие в ней.",,
Для ума,649,Игры,1384,ОНЛАЙН Настольные игры,1424,ОНЛАЙН Иные настольные игры,"Занятия по изучению правил настольных игр (шахматы, шашки, русское лото и др.), а также участие в
них с целью полезного времяпрепровождения и развития когнитивных способностей.",,
Для ума,649,Игры,1384,ОНЛАЙН Настольные игры,1422,ОНЛАЙН Русское лото,"Занятия по изучению правил игры в лото, развивающей навыки коммуникации, быстроту реакции и ясность ума, а также участие в ней.",,
Для ума,649,Игры,1384,ОНЛАЙН Настольные игры,1423,ОНЛАЙН Современные настольные игры,"Занятия по изучению правил современных игр, развивающих способность к быстрому принятию решений, ясности ума и концентрации внимания, а также участие в них.",,
Для ума,649,Игры,1071,ОНЛАЙН Шахматы и шашки,1191,ОНЛАЙН Шашки,"Занятия по изучению правил игры в шашки, развивающей мелкую моторику и навыки коммуникации в компании, а также участие в соревнованиях.",,
Для ума,649,Игры,1071,ОНЛАЙН Шахматы и шашки,1190,ОНЛАЙН Шахматы,"Занятия по изучению правил и основ игры в шахматы, развивающей логику, аналитические способности и память, а также участие в шахматных турнирах.",,
Для ума,649,Игры,1071,ОНЛАЙН Шахматы и шашки,1192,ОНЛАЙН Шахматы и шашки,"Занятия по изучению правил игр в шахматы и шашки, помогающих ориентироваться в нюансах и основах этих игр, а также участие в них.",,
Для ума,649,Игры,648,Шахматы и шашки,219,Шахматы и шашки,"Занятия по изучению правил игры в шахматы и шашки, помогающих ориентироваться в нюансах и основах этих игр, а также участие в них.",,
Для ума,649,Игры,648,Шахматы и шашки,159,Шашки,"Занятия по изучению правил игры в шашки, развивающей мелкую моторику и навыки коммуникации в компании, а также участие в соревнованиях.",,
Для ума,649,Игры,648,Шахматы и шашки,214,Шахматы,"Занятия по изучению правил и основ игры в шахматы, развивающей логику, аналитические способности и память, а также участие в шахматных турнирах.",,
Для ума,631,Образование,632,Английский язык,190,Английский язык разговорный,"Занятия по изучению разговорного английского языка с помощью диалогов, чтения литературы, просмотров и обсуждений фильмов.",,
Для ума,631,Образование,632,Английский язык,150,Английский язык,Занятия по изучению лексики и грамматики английского языка с помощью чтения и аудирования.,,
Для ума,631,Образование,632,Английский язык,187,Английский язык для начинающих,"Занятия по изучению основ английского языка: алфавит, звуки, цифры, техника построения предложений и т.д.",,
Для ума,631,Образование,633,Здорово жить,1736,Правильное питание,"Авторская методика по питанию, которое помогает снижению веса, внедрению здоровых привычек и улучшению самочувствия",,
Для ума,631,Образование,633,Здорово жить,131,Здорово жить,Занятия по изучению основ здорового образа жизни и поддержания здоровья.,,
Для ума,631,Образование,633,Здорово жить,1800,Иппотерапия,"Вас ждут удивительные занятия, на которых Вы сможете пообщаться с лошадьми и научиться за ними ухаживать! Уникальность иппотерапии заключается в гармоничном сочетании телесно-ориентированных и когнитивных приемов воздействия на психологическое состояние человека!  Регулярное общение с ЛОШАДЬМИ избавляет от негативных мыслей и приносит эстетическое удовольствие!",,
Для ума,631,Образование,633,Здорово жить,175,Здоровый образ жизни (ЗОЖ),"Занятия по изучению правил, основ и программ здорового питания, по поиску жизненного баланса и поддержанию физического и психологического здоровья.",,
Для ума,631,Образование,633,Здорово жить,1773,Здоровый сон,"Занятия по восстановлению качества сна, снижению уровня стресса, повышению ощущения радости и удовлетворенности жизнью, увеличению энергии.",,
Для ума,631,Образование,633,Здорово жить,1735,Здоровое похудение,"Занятия с нутрициологом. Программа похудения без физических нагрузок для женщин и мужчин от 55 лет, с учетом всех возрастных особенностей",,
Для ума,631,Образование,635,Иностранные языки,1737,Арабский язык,Занятия по изучению грамматики и основ арабского языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,635,Иностранные языки,1738,Арабский язык продвинутый курс,Занятия по изучению грамматики и основ арабского языка и увеличение словарного запаса для поддержания диалога с иностранцем продвинутый курс,,
Для ума,631,Образование,635,Иностранные языки,101,Испанский язык,Занятия по изучению грамматики и основ испанского языка и по увеличению словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,635,Иностранные языки,189,Итальянский язык,Занятия по изучению грамматики и основ итальянского языка и по увеличению словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,635,Иностранные языки,1745,Французский язык продвинутый курс,Занятия по изучению грамматики французского языка и увеличению словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,635,Иностранные языки,153,Французский язык,Занятия по изучению грамматики и основ французского языка и по увеличению словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,635,Иностранные языки,1747,Японский язык продвинутый курс,Занятия по изучению грамматики и основ японского языка и увеличение словарного запаса для поддержания диалога с иностранцем продвинутый курс,,
Для ума,631,Образование,635,Иностранные языки,325,Иные иностранные языки,"Занятия по изучению основ грамматики и речевой стилистики, алфавита и по проработке правильного произношения иностранных языков.",,
Для ума,631,Образование,635,Иностранные языки,103,Немецкий язык,Занятия по изучению грамматики и основ немецкого языка и по увеличению словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,635,Иностранные языки,1743,Турецкий язык,Занятия по изучению грамматики и основ турецкого языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,635,Иностранные языки,1744,Турецкий язык продвинутый курс,Занятия по изучению грамматики и основ турецкого языка и увеличение словарного запаса для поддержания диалога с иностранцем продвинутый курс,,
Для ума,631,Образование,635,Иностранные языки,1746,Японский язык,Занятия по изучению грамматики и основ японского языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,635,Иностранные языки,1741,Китайский язык,Занятия по изучению грамматики и основ китайского языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,635,Иностранные языки,1742,Китайский язык продвинутый курс,Занятия по изучению грамматики и основ китайского языка и увеличение словарного запаса для поддержания диалога с иностранцем продвинутый курс,,
Для ума,631,Образование,635,Иностранные языки,1739,Греческий язык,Занятия по изучению грамматики и основ греческого языка и увеличение словарного запаса для поддержания диалога с иностранцем.,,
Для ума,631,Образование,635,Иностранные языки,1740,Греческий язык продвинутый курс,Занятия по изучению грамматики и основ греческого языка и увеличение словарного запаса для поддержания диалога с иностранцем продвинутый курс,,
Для ума,631,Образование,630,Информационные технологии,436,Доступный интернет,"Занятия по изучению основ работы в интернете: поиск необходимой информации, виды городских онлайн-сервисов и социальных сетей и др.",,
Для ума,631,Образование,630,Информационные технологии,122,Осваиваем мобильные устройства,Занятия по изучению возможностей функционала смартфонов и основных мобильных приложений.,,
Для ума,631,Образование,630,Информационные технологии,136,Курсы компьютерной грамотности,Занятия по изучению навыков работы на компьютере и знакомство с основными компьютерными программами и интернет-сервисами.,,
Для ума,631,Образование,630,Информационные технологии,320,Электронные услуги: учимся пользоваться,Занятия по изучению и демонстрации функционала городских электронных услуг.,,
Для ума,631,Образование,630,Информационные технологии,1748,3D-моделирование,Занятия по изучению мультимедийных программ по 3D моделированию.,,
Для ума,631,Образование,630,Информационные технологии,146,Работа на компьютере и в социальных сетях,"Занятия по изучению основ работы с компьютерными программами, интернет-сервисами и социальными сетями.",,
Для ума,631,Образование,630,Информационные технологии,160,Продвинутый интернет,"Занятия по изучению навыков продвинутого интернет-пользователя: использование городских онлайн-сервисов, регистрация, ведение страниц и общение в социальных сетях и др.",,
Для ума,631,Образование,634,"История, искусство, краеведение",1751,Церковнославянский язык,"Изучение церковнославянского языка помогает участвовать в православном богослужении и понимать тексты молитв, осознанно и правильно говорить на традиционном славянском языке богослужения, развивает тонкое смысловое и языковое чутьё, формирует чистую, выразительную, красивую, грамотную речь.",,
Для ума,631,Образование,634,"История, искусство, краеведение",200,"История, культура России","Занятия по изучению этапов истории становления России, ее культуры, искусства, человеческого быта в разрезе разных эпох.",,
